content,score,thumbsUpCount,cleaned_content,sentiment_label,word_count,review_date
"Spotify sekarang pelit ya, apa apa premium. dulu masih bisa liat lirik ga ada batas untuk skip lagu juga. terus sekarang juga dikit dikit iklan itu memang resiko pengguna gratis tapi engga setiap 2 lagu iklan juga kaliii, dengerin 2 lagu iklannya 3 hadehh.",2,0,spotify sekarang pelit ya apa apa premium dulu masih bisa liat lirik tidak ada batas untuk skip lagu juga terus sekarang juga dikit dikit iklan itu memang resiko pengguna gratis tapi engga setiap lagu iklan juga kaliii dengerin lagu iklannya hadehh,positive,41,
"lagu nya seru,aplikasinya juga bagussss",5,0,lagu nya seruaplikasinya juga bagussss,negative,5,
mantap sob di tunggu ya,5,0,mantap sob di tunggu ya,negative,5,
the best,5,0,the best,negative,2,
aplikasi keren.,5,0,aplikasi keren,negative,2,
"orang pake spotify download dr play store kok sering muncul ""ada yang salah""",1,0,orang pake spotify download dari play store kok sering muncul ada yang salah,negative,13,
"Bagus, keren banget, iklan jangan terlalu banyak",4,0,bagus keren banget iklan jangan terlalu banyak,negative,7,
sepotovav sanggat bagus,5,0,sepotovav sanggat bagus,negative,3,
Suara & data serta info music yg bagus..,5,0,suara data serta info music yang bagus,negative,7,
"woi ada bug, plyalist gw ilang gabisa diputer",2,0,woi ada bug plyalist gw ilang gabisa diputer,positive,8,
mantap mantap saya suka apk ini 👍👍,5,0,mantap mantap saya suka apk ini,negative,6,
lagu yang saya dengar sangat bagus sehingga hati saya tenang dan terasa sangat nyaman di dengar😍😄,3,0,lagu yang saya dengar sangat bagus sehingga hati saya tenang dan terasa sangat nyaman di dengar,negative,16,
bagus apknya,5,0,bagus apknya,negative,2,
great app music,5,0,great app music,negative,3,
jelek sekaliii,5,0,jelek sekaliii,positive,2,
whyyyyy spoti whyyyyyyy,1,0,whyyyyy spoti whyyyyyyy,negative,3,
KEREEEEEEENNNNNNNN 👍,5,0,kereeeeeeennnnnnnn,negative,1,
nyaman,5,0,nyaman,negative,1,
aplikasi Spotify music nya lengkap banget saya kasih bintang 5 yaa enak buat ngemusic galauu,5,0,aplikasi spotify music nya lengkap banget saya kasih bintang yaa enak buat ngemusic galauu,negative,14,
sangat asik musiknya,5,0,sangat asik musiknya,negative,3,
bagus suaranya jernih tapi iklan nya kebanyakan,4,0,bagus suaranya jernih tapi iklan nya kebanyakan,positive,7,
spotify memberikan kenyamanan bagi yg mendengarnya,5,0,spotify memberikan kenyamanan bagi yang mendengarnya,negative,6,
the real the best nih apk tapi tolong yah jangan iklan mulu hhe kali-kali di turunin min harga Spotify premium nya jadi dua rebu wkwk becanda.. tapi Spotify the real the best sih,5,0,the real the best nih apk tapi tolong yah jangan iklan mulu hhe kalikali di turunin min harga spotify premium nya jadi dua rebu wkwk becanda tapi spotify the real the best sih,negative,33,
"Kenapa sihh pas update terbaru ini playlist lagu saya suka hilang mulu??? Saya harap ada update terbaru, jangan update terus tapi masih ada bug!!. saya jadinya gak bisa dengerin musik gara-gara playlist lagu kesukaan saya hilang semua!!",2,0,kenapa sihh pas update terbaru ini playlist lagu saya suka hilang mulu saya harap ada update terbaru jangan update terus tapi masih ada bug saya jadinya tidak bisa dengerin musik garagara playlist lagu kesukaan saya hilang semua,positive,37,
"Spotify sekarang kemahalan sumpah, dulu aja enak loh waktu ada bonus Rp.800 tapi sekarang dihilangin ya sama yang premium semingguan sama hariannya",4,0,spotify sekarang kemahalan sumpah dulu saja enak loh waktu ada bonus rp tapi sekarang dihilangin ya sama yang premium semingguan sama hariannya,positive,22,
banyak lagu yang enak didengar biasanya buat nemenin aku saat mengerjakan pr sekolah,5,0,banyak lagu yang enak didengar biasanya buat nemenin aku saat mengerjakan pr sekolah,negative,13,
"lagu yang saya sukai, dan saya ikuti tidak bisa di putar padahal jaringan bagus",1,0,lagu yang saya sukai dan saya ikuti tidak bisa di putar padahal jaringan bagus,positive,14,
saya menyukai,3,0,saya menyukai,negative,2,
raja mantap,5,0,raja mantap,negative,2,
bgs bgttt weh,5,0,bgs bgttt weh,positive,3,
kecewa gua😂,1,1,kecewa gua,positive,2,
"bagus tapi jangan ada iklan biar penggunanya tidak terganggu lagi, kaya yang lagi kerja lembur kalo banyak iklan tambah geganggu atau stres trima kasih",5,0,bagus tapi jangan ada iklan biar penggunanya tidak terganggu lagi kaya yang lagi kerja lembur kalo banyak iklan tambah geganggu atau stres trima kasih,positive,24,
sangat baek,5,0,sangat baek,negative,2,
bagus banget aku nyari semua lagu old ada di sini bisa nostalgia lagu lagu terdahulu,5,1,bagus banget aku nyari semua lagu old ada di sini bisa nostalgia lagu lagu terdahulu,negative,15,
keren jg mudah di aplikasikan,4,0,keren jg mudah di aplikasikan,negative,5,
bagus ..,5,0,bagus,negative,1,
bagus banget tapi kalau mau liat lirik itu hanya terbatas jadi bagi yang mau lihat jadi gabisa deh soalnya terbatss,4,0,bagus banget tapi kalau mau liat lirik itu hanya terbatas jadi bagi yang mau lihat jadi gabisa deh soalnya terbatss,positive,20,
habis di-update jelek banget babi. tampilan jumlah lagu yg diputar ga dimunculkan.,1,0,habis diupdate jelek banget babi tampilan jumlah lagu yang diputar tidak dimunculkan,positive,12,
"beli premium duo,ngurusin addresnya trouble mulu gaje bgt...udah bayar masi kaya gini,hadehh",1,0,beli premium duongurusin addresnya trouble mulu gaje bgtudah bayar masi kaya ginihadehh,positive,12,
suara nya jelas Poko nya Spotify bagus banget buat denger lagu,5,0,suara nya jelas poko nya spotify bagus banget buat denger lagu,negative,11,
sru aja si kata aku,3,0,sru saja si kata aku,positive,5,
Saya paling suka dari dulu aplikasi ini iklan nya pun tak bayak,5,0,saya paling suka dari dulu aplikasi ini iklan nya pun tak bayak,negative,12,
gapapa jelek aja,1,0,gapapa jelek saja,positive,3,
mantap,5,0,mantap,negative,1,
SAMPAHHHHHHHH,1,0,sampahhhhhhhh,positive,1,
I LOVE U SPOTIFY aku gk bisa hidup tanpa muu❤️❤️❤️,5,0,i love u spotify aku gk bisa hidup tanpa muu,positive,10,
"banyak sekali iklan, lirik sudah banyak yang ilang juga. jadi gak bisa nyanyi lagi, terus terlalu diskriminasi dengan pengguna gratisan. seandainya kalau ada uang aku juga akan beli tau gak!!!!. intinya aku kecewa",1,1,banyak sekali iklan lirik sudah banyak yang ilang juga jadi tidak bisa nyanyi lagi terus terlalu diskriminasi dengan pengguna gratisan seandainya kalau ada uang aku juga akan beli tau tidak intinya aku kecewa,positive,33,
ga tau,1,0,tidak tau,positive,2,
apk ini bagus banget,5,0,apk ini bagus banget,negative,4,
"suka error kalau ga update, aneh tolong diperbaikin, tau update buat lebih bagus, tapi masa harus error segala lagian update juga ga ada update gede²an cuma update biasa tiap minggu",1,0,suka error kalau tidak update aneh tolong diperbaikin tau update buat lebih bagus tapi masa harus error segala lagian update juga tidak ada update gedean cuma update biasa tiap minggu,positive,30,
top & terbaik👍,5,0,top terbaik,negative,2,
enak tapi terkadang harus premium dulu terus ditunggu beberapa hari baru deh seperti biasa,4,0,enak tapi terkadang harus premium dulu terus ditunggu beberapa hari baru deh seperti biasa,positive,14,
Kamu mau gak jadi pacar aku,5,0,kamu mau tidak jadi pacar aku,positive,6,
"terima kasih admin sarah m yang sudah membantu saya refund. awalnya saya berlangganan paket 59.900 untuk 3 bulan, yang ternyata hanya untuk satu bulan. ketika chat admin, baru uang dapat dikembalikan",5,0,terima kasih admin sarah m yang sudah membantu saya refund awalnya saya berlangganan paket untuk bulan yang ternyata hanya untuk satu bulan ketika chat admin baru uang dapat dikembalikan,negative,29,
bagus banget,5,0,bagus banget,negative,2,
di aku banyak iklan nya tapi gapapa tetep bagus lengkap andd pokok nya baguss sipp👍🏻👍🏻,4,0,di aku banyak iklan nya tapi gapapa tetep bagus lengkap andd pokok nya baguss sipp,negative,15,
aku udah tau kisah gelap nya,1,0,aku udah tau kisah gelap nya,positive,6,
Mantappp,5,0,mantappp,negative,1,
TOP,5,0,top,negative,1,
cakep,5,0,cakep,positive,1,
josjis,5,0,josjis,positive,1,
bgus bet,5,0,bgus bet,positive,2,
iklannya nambah jadi 3 ☹️,3,0,iklannya nambah jadi,negative,3,
"bug, suddenly stop playing",1,0,bug suddenly stop playing,positive,4,
ok Bagus untuk.semua musik,5,0,ok bagus untuksemua musik,negative,4,
"Good application but there is a small bug, sometimes when I want to open the application it takes a long time and then suddenly it goes straight in, please fix the bug",3,0,good application but there is a small bug sometimes when i want to open the application it takes a long time and then suddenly it goes straight in please fix the bug,positive,32,
bagus buat denger musik,5,0,bagus buat denger musik,negative,4,
sangat bagus👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻💀,5,0,sangat bagus,negative,2,
bagus banget bisa dengerin lagu apa aja,5,0,bagus banget bisa dengerin lagu apa saja,negative,7,
enak banget,5,0,enak banget,negative,2,
bagus,4,0,bagus,negative,1,
terlalu bagus ah,5,0,terlalu bagus ah,positive,3,
APLIKASINYA BAGUS DAN KEREN BGT,5,0,aplikasinya bagus dan keren banget,negative,5,
bagus bngt,5,0,bagus bngt,negative,2,
bla bla bla ble ble ble blu blu blu,5,0,bla bla bla ble ble ble blu blu blu,positive,9,
subrek welino,5,0,subrek welino,positive,2,
bgus tpi sering ada iklan jdii biasa aja kalau ga ada iklan bakalan enakkk di denger tnpa gangguan,3,0,bgus tpi sering ada iklan jdii biasa saja kalau tidak ada iklan bakalan enakkk di denger tnpa gangguan,positive,18,
b aja,5,0,b saja,positive,2,
saya sangat senang denger lagu kesaan saya disini,5,0,saya sangat senang denger lagu kesaan saya disini,negative,8,
keren dan mantep,5,0,keren dan mantep,negative,3,
males karena ada iklannya,4,0,males karena ada iklannya,positive,4,
bagus banget lengkap lagi lagu nya,5,0,bagus banget lengkap lagi lagu nya,negative,6,
"the application is really good It's really good, you guys should download this application, it's really better than TikTok",5,0,the application is really good its really good you guys should download this application its really better than tiktok,negative,19,
isk,5,0,isk,positive,1,
spotify iniiii sangatt seruuuu sya sangat sukaaa sekaliii kalo sy lagi apa sya pasti cariii lagi di spotify,5,0,spotify iniiii sangatt seruuuu sya sangat sukaaa sekaliii kalo sy lagi apa sya pasti cariii lagi di spotify,negative,18,
ok banget,5,0,ok banget,positive,2,
Niceee,5,0,niceee,negative,1,
"kok mode shuffle nya ngaco, kalau pilih lagu harusnya yg next nya beda, lah ini malah tetep sama",3,0,kok mode shuffle nya ngaco kalau pilih lagu harusnya yang next nya beda lah ini malah tetep sama,positive,18,
menyenang kan,5,0,menyenang kan,negative,2,
aplikasi nya bagus sangat cocok di gunakan berbagai kalangan,5,0,aplikasi nya bagus sangat cocok di gunakan berbagai kalangan,negative,9,
bagus sekali,5,0,bagus sekali,negative,2,
lagu nya banyak banget,5,0,lagu nya banyak banget,negative,4,
kebanyakan iklan,1,0,kebanyakan iklan,positive,2,
apk ini sangat bagus,5,0,apk ini sangat bagus,negative,4,
ga bisa login,1,0,tidak bisa login,negative,3,
sangat menhibur,5,0,sangat menhibur,negative,2,
ini membuat saya menjadi tenang saat bemain gema,5,0,ini membuat saya menjadi tenang saat bemain gema,negative,8,
SCAM PREM STUDENTS,4,0,scam prem students,positive,3,
"enak untuk mendengarkan musik,suara tidak putus putus",5,0,enak untuk mendengarkan musiksuara tidak putus putus,negative,7,
okeh mantap laguya pada enak,5,0,okeh mantap laguya pada enak,negative,5,
bisa nih buat galau🤡,4,0,bisa nih buat galau,positive,4,
Aku belum bisa sekarang aku kasi bintang tiga aja dulu ya kalo udah bisa aku kasi bintang lima ya okay bay bay,3,0,aku belum bisa sekarang aku kasi bintang tiga saja dulu ya kalo udah bisa aku kasi bintang lima ya okay bay bay,negative,22,
bagus banget dan apa saja yang aku mau pasti ada,5,0,bagus banget dan apa saja yang aku mau pasti ada,negative,10,
BINTANG LIMA POKOKNYA SPOTify,5,0,bintang lima pokoknya spotify,negative,4,
"spotify banyakan iklan, orang ga mau premium di suruh premium, kebelet haji ya 😏",1,0,spotify banyakan iklan orang tidak mau premium di suruh premium kebelet haji ya,positive,13,
sangat bagus tapi ada sedikit gejala saat lagu sudah di putar seperti iklan iklan dan iklan,4,0,sangat bagus tapi ada sedikit gejala saat lagu sudah di putar seperti iklan iklan dan iklan,negative,16,
"ok,,,",5,0,ok,positive,1,
lengkap banget,5,0,lengkap banget,negative,2,
bagusss sekali 👌👌😍,5,0,bagusss sekali,negative,2,
baru coba,5,0,baru coba,negative,2,
enak di dgr walaupun lg kdg gk sesuai yg kita mauh tp bgs gk prlu byr mksh☺😊,5,0,enak di dgr walaupun lg kdg gk sesuai yang kita mauh tp bgs gk prlu byr mksh,positive,17,
jadi enk pas dengerin lagu nya😌 tpi aku gk suka sama iklannya ngeganggu aja 😗,5,0,jadi enk pas dengerin lagu nya tpi aku gk suka sama iklannya ngeganggu saja,positive,14,
yok coll mantab bgt,5,0,yok coll mantab banget,negative,4,
bagusssssss,5,0,bagusssssss,negative,1,
saya suka sekali,5,0,saya suka sekali,negative,3,
semoga masih bisa terus di dengerkan,5,0,semoga masih bisa terus di dengerkan,negative,6,
aaaa aku suka bgt sama Spotify cinta bgt deh sama app yg satu ini🤭,5,0,aaaa aku suka banget sama spotify cinta banget deh sama app yang satu ini,negative,14,
cocok untuk galau🤭🤭,5,0,cocok untuk galau,negative,3,
menarik,5,0,menarik,negative,1,
No disk,5,0,no disk,positive,2,
bagus untuk nyetel music,5,0,bagus untuk nyetel music,negative,4,
sangat membantu,5,0,sangat membantu,negative,2,
5 bintang kerana sangat amatt bagus tau gaa kerana bagus nya apa aku bisa ngesadd🤫,5,0,bintang kerana sangat amatt bagus tau gaa kerana bagus nya apa aku bisa ngesadd,negative,14,
"aplikasi nya bagus, layanan premium nya juga berfungsi sesuai. tapi kapan bisa seperti apple music, yg bisa menampilkan lyric saat terhubung android auto?",3,0,aplikasi nya bagus layanan premium nya juga berfungsi sesuai tapi kapan bisa seperti apple music yang bisa menampilkan lyric saat terhubung android auto,negative,23,
bagussss...,5,0,bagussss,negative,1,
ini aku cuman mau bilang bagusih tapi pas aku hapus Spotify nya aku masuk kan lewat email jadi di suruh masukin password jadi ku masukin passwordnya tapi katanya pasword salah itu membuat aku jadi bingung kumasukkan sandi Email segala macam tapi tetap ngak bisa jadi tolong di perbaiki itu ngebuat aku ngak nyaman sekian terima kasih jangan lupa di perbaikin ya🙏,4,0,ini aku cuman mau bilang bagusih tapi pas aku hapus spotify nya aku masuk kan lewat email jadi di suruh masukin password jadi ku masukin passwordnya tapi katanya pasword salah itu membuat aku jadi bingung kumasukkan sandi email segala macam tapi tetap ngak bisa jadi tolong di perbaiki itu ngebuat aku ngak nyaman sekian terima kasih jangan lupa di perbaikin ya,positive,61,
rusak ni apk gak biasa buat akun selalu terjadi masalah,1,0,rusak ni apk tidak biasa buat akun selalu terjadi masalah,positive,10,
terrr....,5,0,terrr,negative,1,
sangat bagussss,5,0,sangat bagussss,negative,2,
mantap...dan teruslah berkarya serta berinovasi,5,0,mantapdan teruslah berkarya serta berinovasi,negative,5,
gw masuk spotify malah bacaan seperti nya ada yang salah coba lagi padahal jaringan gw gk lemot atau pun lag ah kecewa berat apa spotify,1,0,gw masuk spotify malah bacaan seperti nya ada yang salah coba lagi padahal jaringan gw gk lemot atau pun lag ah kecewa berat apa spotify,positive,25,
terlalu banyak iklan baru buka udah iklan baru mutar 1 lagu tapi dah iklan lagi... apa lagi iklanya 2 langsung benar benar buruk mau dengerin lagu dengan santai malah kebanyakan iklan 💩,1,0,terlalu banyak iklan baru buka udah iklan baru mutar lagu tapi sudah iklan lagi apa lagi iklanya langsung benar benar buruk mau dengerin lagu dengan santai malah kebanyakan iklan,positive,29,
aplikasinya bagus tapi banyak iklannya kalo bisa iklannya di hapus,5,0,aplikasinya bagus tapi banyak iklannya kalo bisa iklannya di hapus,positive,10,
gak suka,1,0,tidak suka,positive,2,
"jujur ini aplikasi buat play musik terbagus sih, gratis lgi. tpi tolong hilangkan iklan nya.",5,0,jujur ini aplikasi buat play musik terbagus sih gratis lgi tpi tolong hilangkan iklan nya,negative,15,
bagus bangeeeeeeeeeeet,5,0,bagus bangeeeeeeeeeeet,negative,2,
terlalu banyak syarat dalam menggunakan aplikasi apa2 harus bayar dan mau ganti lagu pun di batas cman 3 kli dan harus nunggu 6 jam,1,0,terlalu banyak syarat dalam menggunakan aplikasi apa harus bayar dan mau ganti lagu pun di batas cman kli dan harus nunggu jam,positive,22,
baguss bangett 🫶🥰,5,0,baguss banget,negative,2,
the best pokoknya,5,0,the best pokoknya,negative,3,
bagus sekali komplit,5,0,bagus sekali komplit,negative,3,
"nng iklan saking ngemis e kpencet iklan e wae lngsung otomatis download apk sporty ne , jan blas gak ndue isin tnn",1,0,nng iklan saking ngemis e kpencet iklan e wae lngsung otomatis download apk sporty ne jan blas tidak ndue isin tnn,positive,21,
iklanya kebanyakan bagi yang ga premium,1,0,iklanya kebanyakan bagi yang tidak premium,positive,6,
Memberikan fasilitas mendengarkan music dengan nyaman,5,0,memberikan fasilitas mendengarkan music dengan nyaman,negative,6,
Iklannya jelek bgt. Apaan tingklutek takting takletek *sfx gelas dibuat perkusi. Jelek dan mengganggu. Iklannya tambah ga jelas lg. Gua orang indo dikasih iklan bahasa eropa. Susah cari lagu dipencarian karena tidak bisa langsung dimainkan dan harus diputar acak dulu,1,1,iklannya jelek banget apaan tingklutek takting takletek sfx gelas dibuat perkusi jelek dan mengganggu iklannya tambah tidak jelas lg gua orang indo dikasih iklan bahasa eropa susah cari lagu dipencarian karena tidak bisa langsung dimainkan dan harus diputar acak dulu,positive,40,
lagu nya banyak dan enak didenger,5,0,lagu nya banyak dan enak didenger,negative,6,
good👍,5,0,good,negative,1,
nice aplikasi,5,0,nice aplikasi,positive,2,
update melulu,3,0,update melulu,negative,2,
goodd,5,0,goodd,negative,1,
"aplikasi aneh, lagu sering terhenti sendiri....tolong segera di fix.",1,0,aplikasi aneh lagu sering terhenti sendiritolong segera di fix,positive,9,
"iklannya kelamaan kebanyakan, isi premium juga ga besar keuntungannya.",1,0,iklannya kelamaan kebanyakan isi premium juga tidak besar keuntungannya,positive,9,
ok,4,0,ok,positive,1,
"bagus sih,, iklan nya juga g ganggu",5,0,bagus sih iklan nya juga g ganggu,negative,7,
sangat cocok,5,0,sangat cocok,negative,2,
"untuk sejauh ini dan selama ini oke"" aja,cukup puas juga,enak buat temen tidur,enak juga kalo lagi bosen,intinya i like spotify 😍😍💗🤸🏻‍♀️🏃🏻‍♀️",4,0,untuk sejauh ini dan selama ini oke ajacukup puas jugaenak buat temen tidurenak juga kalo lagi bosenintinya i like spotify,negative,20,
KURANG BANYAK IKLANNYA,5,0,kurang banyak iklannya,positive,3,
SPOTIFY SELALU jadi aplikasi yang setiap hari pasti aku buka untuk semangat beraktifivitas dan mbalikin mood akuuu😘😘😘,5,0,spotify selalu jadi aplikasi yang setiap hari pasti aku buka untuk semangat beraktifivitas dan mbalikin mood akuuu,negative,17,
keren MasyaAllah,5,0,keren masyaallah,negative,2,
"aplikasi nya baguss bngttt,gakk ngelag lagii enak bngt buat di pake pas lgi tdr ataupun lagii galauu",4,0,aplikasi nya baguss bngtttgakk ngelag lagii enak bngt buat di pake pas lgi tdr ataupun lagii galauu,negative,17,
ga manusiawi lu bg. kecewa gw,1,1,tidak manusiawi lu bg kecewa gw,negative,6,
Sepp,4,0,sepp,negative,1,
aku sangat senang aplikasi ini ada karna dia bukan cuman aplikasi dia juga teman bagi saya karna dia selalu ada di hidupku,5,0,aku sangat senang aplikasi ini ada karna dia bukan cuman aplikasi dia juga teman bagi saya karna dia selalu ada di hidupku,negative,22,
iklannya 4 klo mao dengerin lagu setiap 2 lagu iklan 4,3,1,iklannya klo mao dengerin lagu setiap lagu iklan,negative,8,
aplikasi luar biasa,5,0,aplikasi luar biasa,negative,3,
"jangan hivi mulu plish, udah muak gw",1,0,jangan hivi mulu plish udah muak gw,positive,7,
"bagus, lengkap bngt",5,0,bagus lengkap bngt,negative,3,
"serba harus premium,",1,0,serba harus premium,positive,3,
musik nya enak dan lengkap,5,0,musik nya enak dan lengkap,negative,5,
bagus gratis walaupun ada gangguan,5,0,bagus gratis walaupun ada gangguan,negative,5,
suaranya bagus,5,0,suaranya bagus,negative,2,
Saya menyukai spotify karna banyak musik faforit saya,5,0,saya menyukai spotify karna banyak musik faforit saya,negative,8,
burik😹,1,0,burik,negative,1,
mantap banget,5,0,mantap banget,negative,2,
"lama kelamaan di paksa harus pake premium,jadi terbatas denger musik nya,tapi bagus sih 3 bintang",3,0,lama kelamaan di paksa harus pake premiumjadi terbatas denger musik nyatapi bagus sih bintang,positive,14,
seru sambil belajar,5,0,seru sambil belajar,negative,3,
seru,5,0,seru,positive,1,
aplikasih spotify enak banget dan seruu iklan ny gak banyk cmn dikitt doang durasinya palingan gak nyampe 20 detik. aplikasih ini mudah untuk di pahami dan mudah di gunakan.,5,0,aplikasih spotify enak banget dan seruu iklan ny tidak banyk cmn dikitt doang durasinya palingan tidak nyampe detik aplikasih ini mudah untuk di pahami dan mudah di gunakan,negative,28,
aplikasi favorite,5,0,aplikasi favorite,negative,2,
Disi gampang menemukan musik yang ku ingin hanya menulis lagu saja kalau tidak ingat judul Langsung dapet jadi gua saranin donglod,5,0,disi gampang menemukan musik yang ku ingin hanya menulis lagu saja kalau tidak ingat judul langsung dapet jadi gua saranin donglod,positive,21,
bagus sekali aplikasi nya,5,0,bagus sekali aplikasi nya,negative,4,
can listen to songs even though there is no wifi/quota fun poll,5,0,can listen to songs even though there is no wifiquota fun poll,positive,12,
"pokoknya spotify is the best,pencarian lagunya sesuai dgn expectassy,,,",5,0,pokoknya spotify is the bestpencarian lagunya sesuai dgn expectassy,negative,9,
Spotify is good but there are a lot of ads please don't give ads but still use wifi,4,0,spotify is good but there are a lot of ads please dont give ads but still use wifi,negative,18,
bagus banget lagunya sesuai yg kita mau dan bisa keluar dari aplikasi juga pokoknya bagus banget deh aku kasih nilai bintang 5,5,0,bagus banget lagunya sesuai yang kita mau dan bisa keluar dari aplikasi juga pokoknya bagus banget deh aku kasih nilai bintang,negative,21,
saya sangat suka banyak lagu bagus dan populer,5,0,saya sangat suka banyak lagu bagus dan populer,negative,8,
aplikasinya sangat membantu saat main game,5,0,aplikasinya sangat membantu saat main game,negative,6,
aplikasi keren,5,0,aplikasi keren,negative,2,
spotify musik yg bagus untuk di download bagi pencinta musik.,5,1,spotify musik yang bagus untuk di download bagi pencinta musik,negative,10,
lagu nya memperoleh bayak lagi ya seper ti tabola bale,5,0,lagu nya memperoleh bayak lagi ya seper ti tabola bale,negative,10,
bgus,5,0,bgus,negative,1,
suka bgttt😍,5,0,suka bgttt,negative,2,
min tolong akunku udah bayar premium tapi di apk masih ada notif pembayaran anda sebelumnya gagal gimana ini min masa bayar lagi ?? bukti saya ada,3,0,min tolong akunku udah bayar premium tapi di apk masih ada notif pembayaran anda sebelumnya gagal gimana ini min masa bayar lagi bukti saya ada,positive,25,
"saat pertama kali masuk semuanya gelap tidak ada text dan tidak ada saran lagu, membuat muak dan emosi apalagi banyak bug seperti tidak bisa memutar lagu, tidak bisa login, tidak bisa mencari lagu, hadehh",1,0,saat pertama kali masuk semuanya gelap tidak ada text dan tidak ada saran lagu membuat muak dan emosi apalagi banyak bug seperti tidak bisa memutar lagu tidak bisa login tidak bisa mencari lagu hadehh,positive,34,
berbagai jenis lagu nya bisa di pakai saat saya bermaim sesuatu imi sangatlah bagus untuk saya yang harus fokus saat bermain,5,1,berbagai jenis lagu nya bisa di pakai saat saya bermaim sesuatu imi sangatlah bagus untuk saya yang harus fokus saat bermain,negative,21,
